year,total_energy,area,month
2016,2687301,hokkaido,03
2016,6893493,tohoku,03
2016,21414398,tokyo,03
2016,10586346,chubu,03
2016,2525858,hokuriku,03
2016,10777749,kansai,03
2016,5035016,chugoku,03
2016,2279211,shikoku,03
2016,6820139,kyushu,03
2016,525707,okinawa,03
2016,2742088,hokkaido,02
2016,7182481,tohoku,02
2016,23006046,tokyo,02
2016,10838904,chubu,02
2016,2600908,hokuriku,02
2016,11169710,kansai,02
2016,5275523,chugoku,02
2016,2315253,shikoku,02
2016,7226799,kyushu,02
2016,541427,okinawa,02
2016,2973097,hokkaido,01
2016,7248623,tohoku,01
2016,22016908,tokyo,01
2016,10867740,chubu,01
2016,2702127,hokuriku,01
2016,11677302,kansai,01
2016,5271858,chugoku,01
2016,2443674,shikoku,01
2016,7428603,kyushu,01
2016,575224,okinawa,01
2015,2399761,hokkaido,12
2015,6351820,tohoku,12
2015,19788400,tokyo,12
2015,9529685,chubu,12
2015,2318044,hokuriku,12
2015,9837687,kansai,12
2015,4643851,chugoku,12
2015,2057780,shikoku,12
2015,6114911,kyushu,12
2015,562307,okinawa,12
2015,2330722,hokkaido,11
2015,5802219,tohoku,11
2015,18441165,tokyo,11
2015,9485581,chubu,11
2015,2089652,hokuriku,11
2015,9631339,kansai,11
2015,4338630,chugoku,11
2015,1940439,shikoku,11
2015,6030807,kyushu,11
2015,626117,okinawa,11
2015,2151083,hokkaido,10
2015,5723525,tohoku,10
2015,18760276,tokyo,10
2015,9650605,chubu,10
2015,2060098,hokuriku,10
2015,9757192,kansai,10
2015,4349787,chugoku,10
2015,1961776,shikoku,10
2015,6121929,kyushu,10
2015,704508,okinawa,10
2015,2180173,hokkaido,09
2015,5806834,tohoku,09
2015,20654314,tokyo,09
2015,10429489,chubu,09
2015,2111531,hokuriku,09
2015,10857819,kansai,09
2015,4650266,chugoku,09
2015,2088976,shikoku,09
2015,6746752,kyushu,09
2015,744216,okinawa,09
2015,2270842,hokkaido,08
2015,6413984,tohoku,08
2015,23913231,tokyo,08
2015,11400424,chubu,08
2015,2376052,hokuriku,08
2015,12421674,kansai,08
2015,5228696,chugoku,08
2015,2410288,shikoku,08
2015,7386529,kyushu,08
2015,811732,okinawa,08
2015,2091606,hokkaido,07
2015,6017704,tohoku,07
2015,20463001,tokyo,07
2015,10187228,chubu,07
2015,2295660,hokuriku,07
2015,10725667,kansai,07
2015,4653703,chugoku,07
2015,2174913,shikoku,07
2015,6531024,kyushu,07
2015,785809,okinawa,07
2015,1988302,hokkaido,06
2015,5566235,tohoku,06
2015,19079888,tokyo,06
2015,9439108,chubu,06
2015,2106509,hokuriku,06
2015,9770998,kansai,06
2015,4288348,chugoku,06
2015,1997408,shikoku,06
2015,6117718,kyushu,06
2015,658852,okinawa,06
2015,2278446,hokkaido,05
2015,5734875,tohoku,05
2015,18694989,tokyo,05
2015,9464395,chubu,05
2015,2076597,hokuriku,05
2015,10119013,kansai,05
2015,4316055,chugoku,05
2015,2022451,shikoku,05
2015,6173547,kyushu,05
2015,571999,okinawa,05
2015,2498661,hokkaido,04
2015,6315288,tohoku,04
2015,20842573,tokyo,04
2015,10087437,chubu,04
2015,2254888,hokuriku,04
2015,10770007,kansai,04
2015,4667115,chugoku,04
2015,2062434,shikoku,04
2015,6510902,kyushu,04
2015,540775,okinawa,04
2015,2580944,hokkaido,03
2015,6921397,tohoku,03
2015,21771552,tokyo,03
2015,10519575,chubu,03
2015,2531417,hokuriku,03
2015,11223041,kansai,03
2015,5007704,chugoku,03
2015,2314973,shikoku,03
2015,6886172,kyushu,03
2015,505108,okinawa,03
2015,2849292,hokkaido,02
2015,7055134,tohoku,02
2015,23607213,tokyo,02
2015,11061780,chubu,02
2015,2579184,hokuriku,02
2015,11922749,kansai,02
