nuclear,total,area_id,year,month
882846,3570574,1,2008,1
1872020,8666959,2,2008,1
5721889,29239047,3,2008,1
2234550,13149855,4,2008,1
0,2957490,5,2008,1
5785920,14554335,6,2008,1
611216,6302960,7,2008,1
1330375,2981851,8,2008,1
2801757,8340881,9,2008,1
0,610934,10,2008,1
825920,3375968,1,2008,2
2102518,8347110,2,2008,2
4835794,28375676,3,2008,2
1713498,13234346,4,2008,2
0,2962518,5,2008,2
4615129,14358974,6,2008,2
572140,6177303,7,2008,2
1039088,2842768,8,2008,2
2606802,8185286,9,2008,2
0,590733,10,2008,2
610105,3152308,1,2008,3
1806059,7960859,2,2008,3
4868479,26644441,3,2008,3
1832457,12497064,4,2008,3
0,2806465,5,2008,3
4478967,13416927,6,2008,3
610938,5892452,7,2008,3
1268412,2715982,8,2008,3
3294605,7849103,9,2008,3
0,597804,10,2008,3
427503,2786135,1,2008,4
1215615,7160620,2,2008,4
4178178,24321880,3,2008,4
1945324,11205543,4,2008,4
4861,2491472,5,2008,4
3863534,12099481,6,2008,4
705560,5257234,7,2008,4
1418994,2460110,8,2008,4
3463206,7054156,9,2008,4
0,592234,10,2008,4
441639,2735010,1,2008,5
1255968,7063946,2,2008,5
5252250,24469783,3,2008,5
2521880,11269942,4,2008,5
457031,2408352,5,2008,5
3990454,12339129,6,2008,5
958859,5242350,7,2008,5
1109381,2464542,8,2008,5
2705675,7196479,9,2008,5
0,678700,10,2008,5
426797,2698302,1,2008,6
1216812,7096219,2,2008,6
5610702,24924100,3,2008,6
2562981,11696692,4,2008,6
868320,2453977,5,2008,6
3580073,12837064,6,2008,6
926063,5396588,7,2008,6
1171431,2541950,8,2008,6
2414665,7476291,9,2008,6
0,799173,10,2008,6
439496,2914106,1,2008,7
1587316,7919408,2,2008,7
6489670,30070436,3,2008,7
2637760,14039113,4,2008,7
897264,2961310,5,2008,7
4395034,15956945,6,2008,7
945519,6598586,7,2008,7
1524247,3169738,8,2008,7
3526206,9585088,9,2008,7
0,913741,10,2008,7
478551,2889494,1,2008,8
2072483,7730338,2,2008,8
6596128,29420876,3,2008,8
2475803,13265950,4,2008,8
897264,2833746,5,2008,8
6092379,15314045,6,2008,8
939872,6386447,7,2008,8
1509066,3088466,8,2008,8
3412927,9119752,9,2008,8
0,888414,10,2008,8
425084,2860263,1,2008,9
2005347,7313827,2,2008,9
5912135,26839744,3,2008,9
1802187,12357131,4,2008,9
868320,2623226,5,2008,9
4445496,13563571,6,2008,9
450837,5792912,7,2008,9
932771,2706826,8,2008,9
3195176,8143435,9,2008,9
0,824618,10,2008,9
440681,2918477,1,2008,10
2072730,7259055,2,2008,10
5839956,24848104,3,2008,10
1671752,11545457,4,2008,10
897264,2525776,5,2008,10
4357135,12533603,6,2008,10
348012,5337882,7,2008,10
836836,2502989,8,2008,10
3306585,7387908,9,2008,10
0,767555,10,2008,10
427793,3026627,1,2008,11
1901581,7359758,2,2008,11
4788973,24793790,3,2008,11
1638387,11205070,4,2008,11
868320,2575408,5,2008,11
5156376,12403966,6,2008,11
338054,5364496,7,2008,11
1281546,2519238,8,2008,11
3363610,7340517,9,2008,11
0,639087,10,2008,11
642955,3377148,1,2008,12
1439265,7799872,2,2008,12
5511764,26752670,3,2008,12
1687035,11738149,4,2008,12
