period,prefecture_code,people_transported
2015-05,1,0
2015-05,2,0
2015-05,3,1
2015-05,4,4
2015-05,5,1
2015-05,6,1
2015-05,7,3
2015-05,8,4
2015-05,9,1
2015-05,10,1
2015-05,11,4
2015-05,12,8
2015-05,13,2
2015-05,14,4
2015-05,15,1
2015-05,16,1
2015-05,17,0
2015-05,18,0
2015-05,19,0
2015-05,20,3
2015-05,21,0
2015-05,22,1
2015-05,23,4
2015-05,24,2
2015-05,25,2
2015-05,26,3
2015-05,27,2
2015-05,28,4
2015-05,29,5
2015-05,30,2
2015-05,31,0
2015-05,32,1
2015-05,33,1
2015-05,34,3
2015-05,35,0
2015-05,36,3
2015-05,37,0
2015-05,38,0
2015-05,39,0
2015-05,40,1
2015-05,41,3
2015-05,42,0
2015-05,43,2
2015-05,44,0
2015-05,45,1
2015-05,46,1
2015-05,47,2
2015-05,1,0
2015-05,2,0
2015-05,3,1
2015-05,4,0
2015-05,5,4
2015-05,6,7
2015-05,7,4
2015-05,8,2
2015-05,9,2
2015-05,10,3
2015-05,11,6
2015-05,12,2
2015-05,13,10
2015-05,14,4
2015-05,15,5
2015-05,16,2
2015-05,17,2
2015-05,18,3
2015-05,19,2
2015-05,20,2
2015-05,21,2
2015-05,22,5
2015-05,23,6
2015-05,24,1
2015-05,25,2
2015-05,26,6
2015-05,27,6
2015-05,28,5
2015-05,29,3
2015-05,30,3
2015-05,31,1
2015-05,32,1
2015-05,33,10
2015-05,34,2
2015-05,35,4
2015-05,36,0
2015-05,37,4
2015-05,38,1
2015-05,39,0
2015-05,40,4
2015-05,41,3
2015-05,42,1
2015-05,43,5
2015-05,44,3
2015-05,45,0
2015-05,46,0
2015-05,47,1
2015-05,1,1
2015-05,2,1
2015-05,3,2
2015-05,4,1
2015-05,5,4
2015-05,6,6
2015-05,7,4
2015-05,8,2
2015-05,9,1
2015-05,10,3
2015-05,11,4
2015-05,12,5
2015-05,13,6
2015-05,14,6
2015-05,15,5
2015-05,16,0
2015-05,17,2
2015-05,18,0
2015-05,19,3
2015-05,20,1
2015-05,21,1
2015-05,22,5
2015-05,23,1
2015-05,24,1
2015-05,25,0
2015-05,26,4
2015-05,27,0
2015-05,28,0
2015-05,29,1
2015-05,30,1
2015-05,31,1
2015-05,32,0
2015-05,33,0
2015-05,34,1
2015-05,35,0
2015-05,36,1
2015-05,37,1
2015-05,38,0
2015-05,39,0
2015-05,40,0
2015-05,41,0
2015-05,42,0
2015-05,43,0
2015-05,44,1
2015-05,45,0
2015-05,46,0
2015-05,47,2
2015-05,1,1
2015-05,2,2
2015-05,3,0
2015-05,4,0
2015-05,5,4
2015-05,6,4
2015-05,7,1
2015-05,8,0
2015-05,9,1
2015-05,10,3
2015-05,11,15
2015-05,12,1
2015-05,13,5
2015-05,14,3
2015-05,15,3
2015-05,16,0
2015-05,17,0
2015-05,18,0
2015-05,19,0
2015-05,20,0
2015-05,21,0
2015-05,22,0
2015-05,23,0
2015-05,24,0
2015-05,25,0
2015-05,26,0
2015-05,27,2
2015-05,28,3
2015-05,29,0
2015-05,30,0
2015-05,31,1
2015-05,32,0
2015-05,33,0
2015-05,34,4
2015-05,35,0
2015-05,36,2
2015-05,37,0
2015-05,38,0
2015-05,39,0
2015-05,40,4
2015-05,41,3
2015-05,42,0
2015-05,43,0
2015-05,44,0
2015-05,45,2
2015-05,46,0
2015-05,47,0
2015-05,1,0
2015-05,2,1
2015-05,3,0
2015-05,4,0
2015-05,5,0
2015-05,6,0
2015-05,7,0
2015-05,8,0
2015-05,9,2
2015-05,10,1
