Japan, Deaths (5x1) Last modified:2023-12-05, ver.004_004 JMD(IPSS)

Year       Age          Female             Male            Total
1947       0             93851.04        111733.55        205584.59
1947       1-4           60142.42         63294.35        123436.77
1947       5-9           14243.35         15892.43         30135.78
1947      10-14           8342.83          8228.04         16570.87
1947      15-19          18498.37         18097.11         36595.48
1947      20-24          27257.57         28048.29         55305.86
1947      25-29          22387.02         20790.41         43177.43
1947      30-34          19469.26         19561.90         39031.16
1947      35-39          18062.95         19980.42         38043.37
1947      40-44          16294.28         20565.13         36859.41
1947      45-49          17137.07         24094.44         41231.51
1947      50-54          18941.77         27640.78         46582.55
1947      55-59          22485.08         33778.28         56263.36
1947      60-64          29986.13         40644.68         70630.81
1947      65-69          38420.04         47113.57         85533.61
1947      70-74          43280.60         43837.57         87118.17
1947      75-79          34795.63         28900.32         63695.95
1947      80-84          25315.75         16389.03         41704.78
1947      85-89          10062.44          5483.70         15546.14
1947      90-94           3121.93          1352.66          4474.59
1947      95-99            429.41           211.25           640.66
1947     100-104            32.01            21.02            53.03
1947     105-109             5.00             5.00            10.00
1947     110+                6.00             6.00            12.00
1948       0             74677.49         90860.74        165538.23
1948       1-4           38466.00         41192.05         79658.05
1948       5-9           10275.95         12032.83         22308.78
1948      10-14           6836.61          6794.11         13630.72
1948      15-19          15008.13         14590.12         29598.25
1948      20-24          25027.92         25557.99         50585.91
1948      25-29          21062.23         19179.25         40241.48
1948      30-34          17050.53         16966.25         34016.78
1948      35-39          16440.12         17263.54         33703.66
1948      40-44          14935.09         17924.13         32859.22
1948      45-49          15871.72         21038.92         36910.64
1948      50-54          17662.93         24730.25         42393.18
1948      55-59          20711.00         29572.61         50283.61
1948      60-64          25953.54         34675.19         60628.73
1948      65-69          34169.11         39470.51         73639.62
1948      70-74          38337.93         37430.67         75768.60
1948      75-79          30481.61         24258.82         54740.43
1948      80-84          22293.07         14252.83         36545.90
1948      85-89           8745.92          4501.03         13246.95
1948      90-94           2624.78          1135.01          3759.79
1948      95-99            380.27           135.13           515.40
1948     100-104            20.00             9.00            29.00
1948     105-109             2.00             2.00             4.00
1948     110+                3.00             0.00             3.00
1949       0             77059.89         91460.84        168520.73
1949       1-4           43343.36         45960.53         89303.89
1949       5-9           10161.98         11512.88         21674.86
1949      10-14           5822.12          5720.43         11542.55
1949      15-19          12842.49         12298.23         25140.72
1949      20-24          21463.15         22991.76         44454.91
1949      25-29          19682.79         17906.61         37589.40
1949      30-34          15575.01         14856.32         30431.33
1949      35-39          15226.92         15940.76         31167.68
1949      40-44          14134.72         16849.16         30983.88
1949      45-49          15128.91         20176.56         35305.47
1949      50-54          17011.28         23598.01         40609.29
1949      55-59          19743.81         28470.09         48213.90
1949      60-64          25891.00         34727.75         60618.75
1949      65-69          33515.47         39631.82         73147.29
1949      70-74          39247.59         38927.52         78175.11
1949      75-79          32460.28         26501.26         58961.54
1949      80-84          23864.61         15475.57         39340.18
1949      85-89          10041.93          5290.25         15332.18
1949      90-94           2960.57          1326.59          4287.16
1949      95-99            413.07           181.07           594.14
1949     100-104            34.00            12.00            46.00
1949     105-109             1.00             1.00             2.00
1949     110+                1.00             0.00             1.00
1950       0             64283.12         76284.89        140568.01
1950       1-4           40355.48         42062.89         82418.37
1950       5-9            9189.16         10592.26         19781.42
1950      10-14           5165.22          5050.51         10215.73
1950      15-19          10569.47         10660.30         21229.77
1950      20-24          17223.04         18661.28         35884.32
1950      25-29          17019.00         15898.89         32917.89
1950      30-34          13878.25         12547.24         26425.49
1950      35-39          14046.30         14138.03         28184.33
1950      40-44          13658.20         15686.78         29344.98
1950      45-49          14778.47         19153.51         33931.98
1950      50-54          17076.03         23319.60         40395.63
1950      55-59          19734.65         28720.28         48454.93
1950      60-64          26330.18         35045.41         61375.59
1950      65-69          34791.18         41054.39         75845.57
1950      70-74          41679.81         42440.07         84119.88
1950      75-79          36429.57         30649.23         67078.80
1950      80-84          25748.06         17016.46         42764.52
1950      85-89          11860.79          6347.14         18207.93
1950      90-94           3451.82          1523.76          4975.58
1950      95-99            496.11           204.10           700.21
1950     100-104            37.00            15.00            52.00
1950     105-109             0.00             1.00             1.00
1950     110+                2.00             0.00             2.00
1951       0             56006.24         66867.55        122873.79
1951       1-4           38694.86         40938.18         79633.04
1951       5-9            7765.17          8817.47         16582.64
1951      10-14           4435.10          4510.23          8945.33
1951      15-19           8043.18          8672.46         16715.64
1951      20-24          12936.29         14300.75         27237.04
1951      25-29          13700.30         12956.68         26656.98
1951      30-34          11833.26         10183.55         22016.81
1951      35-39          12184.27         11673.62         23857.89
1951      40-44          12559.28         14155.75         26715.03
1951      45-49          13696.31         17611.93         31308.24
1951      50-54          15999.35         22267.18         38266.53
1951      55-59          19336.42         27610.47         46946.89
1951      60-64          25196.57         34677.85         59874.42
1951      65-69          33178.73         39612.11         72790.84
1951      70-74          41114.91         41561.20         82676.11
1951      75-79          38467.85         31689.68         70157.53
1951      80-84          25056.55         16371.87         41428.42
1951      85-89          12341.28          6494.35         18835.63
1951      90-94           3323.07          1388.07          4711.14
1951      95-99            556.00           169.00           725.00
1951     100-104            28.00             8.00            36.00
1951     105-109             4.00             1.00             5.00
1951     110+                1.00             1.00             2.00
1952       0             45068.90         54057.89         99126.79
1952       1-4           29067.52         30373.99         59441.51
1952       5-9            6927.60          8391.38         15318.98
1952      10-14           3757.34          4194.68          7952.02
1952      15-19           6424.56          7462.24         13886.80
1952      20-24          10475.90         12009.97         22485.87
1952      25-29          11233.98         11252.85         22486.83
1952      30-34          10293.89          8705.43         18999.32
1952      35-39          10584.92          9750.62         20335.54
1952      40-44          11545.01         12817.11         24362.12
1952      45-49          12375.07         16176.67         28551.74
1952      50-54          15985.39         21755.58         37740.97
1952      55-59          18904.62         27353.51         46258.13
1952      60-64          24040.07         33446.50         57486.57
1952      65-69          31947.76         38835.39         70783.15
1952      70-74          40055.47         40779.72         80835.19
1952      75-79          39158.39         32715.36         71873.75
1952      80-84          25108.17         16780.74         41888.91
1952      85-89          13020.13          6804.14         19824.27
1952      90-94           3313.27          1357.22          4670.49
1952      95-99            534.03           168.01           702.04
1952     100-104            37.00            16.00            53.00
1952     105-109             3.00             0.00             3.00
1952     110+                1.00             0.00             1.00
1953       0             41591.14         49846.98         91438.12
1953       1-4           24610.62         25913.13         50523.75
1953       5-9            7088.03          8354.34         15442.37
1953      10-14           3306.48          3868.61          7175.09
1953      15-19           5631.83          6963.11         12594.94
1953      20-24           9551.42         11869.90         21421.32
1953      25-29          10217.51         11010.77         21228.28
1953      30-34           9559.43          8136.30         17695.73
1953      35-39           9631.41          9007.44         18638.85
1953      40-44          10995.60         11808.88         22804.48
1953      45-49          12313.82         15611.50         27925.32
1953      50-54          15925.35         22150.55         38075.90
1953      55-59          19186.83         28416.54         47603.37
1953      60-64          24424.61         34656.56         59081.17
1953      65-69          32643.82         40507.49         73151.31
1953      70-74          43095.35         44062.05         87157.40
1953      75-79          43989.48         37493.00         81482.48
1953      80-84          28824.28         19838.18         48662.46
1953      85-89          15658.31          8485.36         24143.67
1953      90-94           3750.56          1587.25          5337.81
1953      95-99            648.09           244.04           892.13
1953     100-104            39.00            26.00            65.00
1953     105-109             4.00             1.00             5.00
1953     110+                1.00             0.00             1.00
1954       0             35776.45         43176.80         78953.25
1954       1-4           19956.93         21285.85         41242.78
1954       5-9            7038.69          8400.14         15438.83
1954      10-14           3096.31          3776.52          6872.83
1954      15-19           5111.50          6849.91         11961.41
1954      20-24           9062.86         12289.65         21352.51
1954      25-29           9739.96         11796.58         21536.54
1954      30-34           9362.89          8679.17         18042.06
1954      35-39           8924.86          8802.17         17727.03
1954      40-44          10344.98         11765.58         22110.56
1954      45-49          11813.14         15616.10         27429.24
1954      50-54          15476.50         22045.96         37522.46
1954      55-59          18085.75         28199.78         46285.53
1954      60-64          22474.17         33464.50         55938.67
1954      65-69          30593.96         39239.27         69833.23
1954      70-74          38744.74         41173.53         79918.27
1954      75-79          40526.92         34941.69         75468.61
1954      80-84          27045.61         18658.52         45704.13
1954      85-89          14170.37          7663.04         21833.41
1954      90-94           3816.36          1621.21          5437.57
1954      95-99            617.05           197.02           814.07
1954     100-104            51.00            14.00            65.00
1954     105-109             2.00             1.00             3.00
1954     110+                0.00             0.00             0.00
1955       0             31173.57         37630.06         68803.63
1955       1-4           14527.26         16071.89         30599.15
1955       5-9            6068.12          8172.44         14240.56
1955      10-14           2938.06          3610.20          6548.26
1955      15-19           4593.09          6399.37         10992.46
1955      20-24           8048.13         11335.62         19383.75
1955      25-29           8622.15         10740.59         19362.74
1955      30-34           8457.15          8202.47         16659.62
1955      35-39           8435.15          8017.44         16452.59
1955      40-44           9895.20         10847.59         20742.79
1955      45-49          11717.21         15238.83         26956.04
1955      50-54          14773.28         21270.16         36043.44
1955      55-59          17855.32         27139.49         44994.81
1955      60-64          22238.41         33422.82         55661.23
1955      65-69          30044.56         39910.19         69954.75
1955      70-74          38691.70         41483.26         80174.96
1955      75-79          41438.76         35901.98         77340.74
1955      80-84          29308.53         20223.11         49531.64
1955      85-89          14683.27          7572.41         22255.68
1955      90-94           4062.06          1828.10          5890.16
1955      95-99            648.00           209.00           857.00
1955     100-104            56.00            16.00            72.00
1955     105-109             2.00             3.00             5.00
1955     110+                0.00             0.00             0.00
1956       0             30382.44         37311.54         67693.98
1956       1-4           12859.18         14315.96         27175.14
1956       5-9            5866.10          7744.52         13610.62
1956      10-14           2494.00          3210.21          5704.21
1956      15-19           4355.08          6082.41         10437.49
1956      20-24           7684.10         10954.75         18638.85
1956      25-29           8078.10         10344.69         18422.79
1956      30-34           8378.10          8277.58         16655.68
1956      35-39           8090.10          8075.55         16165.65
1956      40-44           9615.12         10778.74         20393.86
1956      45-49          11974.19         15565.06         27539.25
1956      50-54          14852.21         21759.47         36611.68
1956      55-59          18919.28         29272.98         48192.26
1956      60-64          23473.32         35680.43         59153.75
1956      65-69          31859.46         42141.88         74001.34
1956      70-74          40922.59         44111.02         85033.61
1956      75-79          45767.66         40148.73         85916.39
1956      80-84          35062.50         24421.66         59484.16
1956      85-89          16334.24          8859.60         25193.84
1956      90-94           5276.06          2096.14          7372.20
1956      95-99            751.00           234.00           985.00
1956     100-104            68.00             7.00            75.00
1956     105-109             1.00             1.00             2.00
1956     110+                1.00             0.00             1.00
1957       0             27850.47         34829.84         62680.31
1957       1-4           11472.20         12914.69         24386.89
1957       5-9            5571.11          7165.38         12736.49
1957      10-14           2695.03          3300.19          5995.22
1957      15-19           4498.10          6325.34         10823.44
1957      20-24           7649.11         10673.56         18322.67
1957      25-29           8196.12         10207.56         18403.68
1957      30-34           8526.15          8948.47         17474.62
1957      35-39           8470.12          7906.43         16376.55
1957      40-44           9751.19         10665.57         20416.76
