Japan, Population size(5 year) Last modified:2023-12-05, ver.004_004 JMD(IPSS)

Year     Age      Female         Male        Total
1947   0        905090.73    952372.62   1857463.35
1947   1-4     3692444.92   3796550.53   7488995.45
1947   5-9     4421552.11   4530110.73   8951662.84
1947  10-14    4330205.77   4413529.48   8743735.25
1947  15-19    4020775.59   4003729.99   8024505.58
1947  20-24    3586764.50   3183942.31   6770706.81
1947  25-29    2985786.41   2405983.13   5391769.54
1947  30-34    2765169.50   2426575.41   5191744.91
1947  35-39    2493075.09   2324720.60   4817795.69
1947  40-44    2030475.46   2075044.49   4105519.95
1947  45-49    1821067.82   1893604.07   3714671.89
1947  50-54    1514072.39   1564868.16   3078940.55
1947  55-59    1315585.10   1291246.01   2606831.11
1947  60-64    1130195.23    998975.63   2129170.86
1947  65-69     943163.62    762366.03   1705529.65
1947  70-74     656808.05    474702.81   1131510.86
1947  75-79     333331.73    209422.61    542754.34
1947  80-84     149346.68     79335.37    228682.05
1947  85-89      40633.22     18642.73     59275.95
1947  90-94       8509.14      3342.45     11851.59
1947  95-99        838.45       369.28      1207.73
1947 100-104        60.01        24.01        84.02
1947 105-109         8.00         7.00        15.00
1947 110+           11.00         6.00        17.00
1948   0       1230805.73   1286478.24   2517283.97
1948   1-4     3551616.59   3667200.53   7218817.12
1948   5-9     4452646.42   4569083.61   9021730.03
1948  10-14    4362382.94   4448356.83   8810739.77
1948  15-19    4107152.32   4118939.55   8226091.87
1948  20-24    3669878.00   3397143.44   7067021.44
1948  25-29    3057949.14   2426303.73   5484252.87
1948  30-34    2762637.57   2396504.11   5159141.68
1948  35-39    2543232.87   2334293.33   4877526.20
1948  40-44    2073318.81   2079525.46   4152844.27
1948  45-49    1881998.31   1944567.33   3826565.64
1948  50-54    1542576.85   1593924.07   3136500.92
1948  55-59    1346365.74   1328152.05   2674517.79
1948  60-64    1124585.62   1003744.45   2128330.07
1948  65-69     950232.86    767717.20   1717950.06
1948  70-74     685862.43    492985.63   1178848.06
1948  75-79     349663.68    219036.51    568700.19
1948  80-84     155703.55     82318.93    238022.48
1948  85-89      40968.40     18228.32     59196.72
1948  90-94       8689.36      3356.53     12045.89
1948  95-99        877.25       342.17      1219.42
1948 100-104        49.00        17.00        66.00
1948 105-109         5.00         3.00         8.00
1948 110+            6.00         1.00         7.00
1949   0       1261196.73   1315359.99   2576556.72
1949   1-4     3748148.24   3889476.38   7637624.62
1949   5-9     4620414.48   4737120.99   9357535.47
1949  10-14    4301333.74   4392569.58   8693903.32
1949  15-19    4146217.15   4185281.13   8331498.28
1949  20-24    3749635.51   3593001.97   7342637.48
1949  25-29    3186768.44   2521856.87   5708625.31
1949  30-34    2751941.99   2350889.78   5102831.77
1949  35-39    2588443.36   2342052.84   4930496.20
1949  40-44    2125018.01   2100339.36   4225357.37
1949  45-49    1925460.87   1977800.55   3903261.42
1949  50-54    1597227.98   1646204.86   3243432.84
1949  55-59    1347814.87   1334152.86   2681967.73
1949  60-64    1138143.99   1038978.23   2177122.22
1949  65-69     962061.14    777162.42   1739223.56
1949  70-74     707752.16    512307.79   1220059.95
1949  75-79     371165.17    235772.35    606937.52
1949  80-84     170812.33     91220.37    262032.70
1949  85-89      44308.19     19906.04     64214.23
1949  90-94       9508.24      3703.07     13211.31
1949  95-99        970.09       389.10      1359.19
1949 100-104        63.00        23.00        86.00
1949 105-109         5.00         1.00         6.00
1949 110+            4.00         1.00         5.00
1950   0       1263799.03   1308052.36   2571851.39
1950   1-4     3999252.47   4162329.06   8161581.53
1950   5-9     4753743.89   4879312.42   9633056.31
1950  10-14    4264416.55   4361029.92   8625446.47
1950  15-19    4175258.32   4235535.87   8410794.19
1950  20-24    3829168.58   3726285.18   7555453.76
1950  25-29    3298867.85   2672943.68   5971811.53
1950  30-34    2738985.96   2303191.27   5042177.23
1950  35-39    2632662.22   2356178.64   4988840.86
1950  40-44    2221120.94   2148487.51   4369608.45
1950  45-49    1953887.81   1992063.20   3945951.01
1950  50-54    1630292.60   1681184.10   3311476.70
1950  55-59    1346161.34   1346968.72   2693130.06
1950  60-64    1178457.62   1085324.45   2263782.07
1950  65-69     966033.96    784953.96   1750987.92
1950  70-74     728473.11    529994.55   1258467.66
1950  75-79     397354.83    254305.57    651660.40
1950  80-84     175678.49     93884.51    269563.00
1950  85-89      50033.76     22499.39     72533.15
1950  90-94      10043.11      3831.87     13874.98
1950  95-99       1097.08       400.08      1497.16
1950 100-104        70.00        29.00        99.00
1950 105-109         7.00         0.00         7.00
1950 110+            3.00         1.00         4.00
1951   0       1082637.07   1138806.83   2221443.90
1951   1-4     4454649.63   4634838.08   9089487.71
1951   5-9     4591606.36   4714604.07   9306210.43
1951  10-14    4268640.46   4366873.28   8635513.74
1951  15-19    4256895.45   4324748.88   8581644.33
1951  20-24    3881168.47   3839730.28   7720898.75
1951  25-29    3375254.73   2839580.71   6214835.44
1951  30-34    2824971.90   2320675.84   5145647.74
1951  35-39    2667106.66   2356032.58   5023139.24
1951  40-44    2280316.60   2184961.92   4465278.52
1951  45-49    1992095.24   2007383.08   3999478.32
1951  50-54    1676779.20   1720286.91   3397066.11
1951  55-59    1372165.94   1378808.92   2750974.86
1951  60-64    1202586.45   1118751.18   2321337.63
1951  65-69     970346.20    792997.65   1763343.85
1951  70-74     743780.85    541748.64   1285529.49
1951  75-79     423065.24    271214.87    694280.11
1951  80-84     175771.27     94047.92    269819.19
1951  85-89      56378.21     25051.51     81429.72
1951  90-94      10339.61      3841.36     14180.97
1951  95-99       1203.02       375.00      1578.02
1951 100-104        72.00        36.00       108.00
1951 105-109        10.00         1.00        11.00
1951 110+            2.00         1.00         3.00
1952   0       1003555.28   1046928.12   2050483.40
1952   1-4     4658574.96   4852816.19   9511391.15
1952   5-9     4435509.20   4571608.57   9007117.77
1952  10-14    4387542.25   4486750.92   8874293.17
1952  15-19    4289439.21   4355734.31   8645173.52
1952  20-24    3933931.90   3911966.64   7845898.54
1952  25-29    3483567.53   3086707.48   6570275.01
1952  30-34    2902969.73   2331928.02   5234897.75
1952  35-39    2687730.48   2350092.39   5037822.87
1952  40-44    2418454.84   2244137.65   4662592.49
1952  45-49    1960967.54   1985334.31   3946301.85
1952  50-54    1741739.45   1784119.28   3525858.73
1952  55-59    1423766.09   1432912.71   2856678.80
1952  60-64    1196928.73   1125540.81   2322469.54
1952  65-69     978355.35    807053.71   1785409.06
1952  70-74     752488.10    551186.09   1303674.19
1952  75-79     457867.14    293363.80    751230.94
1952  80-84     181504.36     97961.91    279466.27
1952  85-89      60682.88     27095.09     87777.97
1952  90-94      10437.75      3812.43     14250.18
1952  95-99       1271.06       398.01      1669.07
1952 100-104        78.00        42.00       120.00
1952 105-109         9.00         0.00         9.00
1952 110+            2.00         0.00         2.00
1953   0        943776.63    987196.87   1930973.50
1953   1-4     4465524.37   4652374.09   9117898.46
1953   5-9     4648697.62   4806815.48   9455513.10
1953  10-14    4430532.52   4537258.39   8967790.91
1953  15-19    4329633.25   4383646.39   8713279.64
1953  20-24    4036067.54   4033254.90   8069322.44
1953  25-29    3580058.14   3315758.21   6895816.35
1953  30-34    2986256.11   2366280.39   5352536.50
1953  35-39    2694142.43   2332072.92   5026215.35
1953  40-44    2476171.12   2264192.80   4740363.92
1953  45-49    2010459.41   2000527.31   4010986.72
1953  50-54    1805825.45   1841566.28   3647391.73
1953  55-59    1460510.88   1472344.11   2932854.99
1953  60-64    1228321.35   1164886.12   2393207.47
1953  65-69     980631.81    821453.19   1802085.00
1953  70-74     765533.12    563160.14   1328693.26
1953  75-79     484839.51    309877.35    794716.86
1953  80-84     192587.32    105217.27    297804.59
1953  85-89      64949.66     29042.83     93992.49
1953  90-94      10874.71      3955.36     14830.07
1953  95-99       1403.09       445.03      1848.12
1953 100-104        81.00        43.00       124.00
1953 105-109         9.00         1.00        10.00
1953 110+            1.00         0.00         1.00
1954   0        879974.19    919527.71   1799501.90
1954   1-4     4183084.60   4359981.84   8543066.44
1954   5-9     4878883.88   5064964.25   9943848.13
1954  10-14    4605814.62   4713611.25   9319425.87
1954  15-19    4274039.19   4325488.77   8599527.96
1954  20-24    4087248.75   4091703.92   8178952.67
1954  25-29    3674978.32   3528990.63   7203968.95
1954  30-34    3124962.44   2474515.32   5599477.76
1954  35-39    2691785.34   2297139.41   4988924.75
1954  40-44    2529868.08   2281771.57   4811639.65
1954  45-49    2065121.19   2027886.64   4093007.83
1954  50-54    1853668.43   1881474.66   3735143.09
1954  55-59    1517868.87   1527289.77   3045158.64
1954  60-64    1233922.07   1174255.42   2408177.49
1954  65-69     994185.52    854409.00   1848594.52
1954  70-74     777435.38    570877.86   1348313.24
1954  75-79     500011.43    319681.24    819692.67
1954  80-84     205279.00    112540.00    317819.00
1954  85-89      69994.04     31100.34    101094.38
1954  90-94      11559.34      4127.26     15686.60
1954  95-99       1437.04       458.02      1895.06
1954 100-104        81.00        31.00       112.00
1954 105-109         9.00         3.00        12.00
1954 110+            0.00         0.00         0.00
1955   0        833244.48    879089.80   1712334.28
1955   1-4     3831041.51   4001160.39   7832201.90
1955   5-9     5153702.11   5356039.97  10509742.08
1955  10-14    4743033.25   4861856.36   9604889.61
1955  15-19    4245588.27   4297938.72   8543526.99
1955  20-24    4124089.09   4126178.87   8250267.96
1955  25-29    3765333.02   3670958.67   7436291.69
1955  30-34    3247891.96   2638977.38   5886869.34
1955  35-39    2688238.90   2260006.90   4948245.80
1955  40-44    2580361.63   2303221.09   4883582.72
1955  45-49    2163634.28   2080598.99   4244233.27
1955  50-54    1886219.84   1901801.44   3788021.28
1955  55-59    1555605.35   1566566.09   3122171.44
1955  60-64    1239728.75   1192127.14   2431855.89
1955  65-69    1032515.53    897169.04   1929684.57
1955  70-74     786701.72    581392.87   1368094.59
1955  75-79     519904.59    333146.57    853051.16
1955  80-84     224416.97    123215.28    347632.25
1955  85-89      73259.02     32303.85    105562.87
1955  90-94      13230.13      4757.22     17987.35
1955  95-99       1501.00       447.00      1948.00
1955 100-104        95.00        24.00       119.00
1955 105-109        11.00         5.00        16.00
1955 110+            2.00         0.00         2.00
1956   0        814665.89    855022.69   1669688.58
1956   1-4     3601788.08   3756609.59   7358397.67
1956   5-9     5460835.18   5695756.25  11156591.43
1956  10-14    4582366.17   4697687.01   9280053.18
1956  15-19    4251064.35   4305603.96   8556668.31
1956  20-24    4213426.09   4204740.56   8418166.65
1956  25-29    3822054.48   3780494.24   7602548.72
1956  30-34    3333559.25   2818588.70   6152147.95
1956  35-39    2781040.48   2284817.84   5065858.32
1956  40-44    2616164.35   2306901.34   4923065.69
1956  45-49    2228749.36   2124247.40   4352996.76
1956  50-54    1928182.45   1920321.28   3848503.73
1956  55-59    1604903.54   1609757.40   3214660.94
1956  60-64    1274004.81   1229876.42   2503881.23
1956  65-69    1056256.72    927734.35   1983991.07
1956  70-74     795861.67    592658.70   1388520.37
1956  75-79     536667.71    344253.95    880921.66
1956  80-84     243889.05    134497.79    378386.84
1956  85-89      75111.69     33466.94    108578.63
1956  90-94      15809.16      5543.27     21352.43
1956  95-99       1585.00       449.00      2034.00
1956 100-104       104.00        27.00       131.00
1956 105-109        10.00         5.00        15.00
1956 110+            3.00         0.00         3.00
1957   0        784750.66    825456.29   1610206.95
1957   1-4     3428668.00   3583470.69   7012138.69
1957   5-9     5608148.93   5842466.01  11450614.94
1957  10-14    4417619.65   4538897.61   8956517.26
1957  15-19    4362855.20   4411215.01   8774070.21
1957  20-24    4238920.85   4229920.26   8468841.11
1957  25-29    3876158.82   3850246.64   7726405.46
1957  30-34    3440017.15   3062759.60   6502776.75
1957  35-39    2862471.99   2300278.31   5162750.30
1957  40-44    2636862.42   2301431.91   4938294.33
1957  45-49    2364711.39   2183203.96   4547915.35
1957  50-54    1900335.52   1900189.19   3800524.71
1957  55-59    1666271.45   1668703.09   3334974.54
1957  60-64    1327445.43   1282316.30   2609761.73
1957  65-69    1053517.81    934028.41   1987546.22
1957  70-74     802552.44    604529.22   1407081.66
1957  75-79     543448.38    349997.51    893445.89
1957  80-84     264631.44    145552.18    410183.62
1957  85-89      77935.23     34825.03    112760.26
1957  90-94      16678.20      5858.29     22536.49
1957  95-99       1533.00       443.00      1976.00
1957 100-104       105.00        29.00       134.00
1957 105-109         9.00         5.00        14.00
1957 110+            3.00         0.00         3.00
1958   0        739533.95    777232.25   1516766.20
1958   1-4     3279566.60   3434036.38   6713602.98
1958   5-9     5359936.11   5582981.33  10942917.44
1958  10-14    4631426.45   4775490.17   9406916.62
1958  15-19    4401102.79   4445256.60   8846359.39
1958  20-24    4267321.78   4244079.96   8511401.74
1958  25-29    3975217.82   3966239.82   7941457.64
1958  30-34    3533107.42   3286281.71   6819389.13
1958  35-39    2945944.19   2337714.10   5283658.29
